block,amount
4756481,39.8429
4762043,28.8141
4762769,366.7268
4762902,194.1840
4763198,374.8904
4774485,31.4631
4774598,101.6379
4774745,51.3875
4775555,19467.1556
4775599,2611.0898
4777236,3366.6214
4777286,2.4058
4782236,30.6334
4786297,33.2482
4824752,153.2578
4839923,81.1951
4839988,17.8049
4840215,329.5673
4840462,926.3469
4845058,12.7648
4916262,499.1795
4917293,942.7419
4917385,105278.8454
4917433,35442.1400
4917576,946.8278
4920116,1383.4335
4920355,1506.7546
4920404,935.8722
4920409,244.0631
4920428,280.3823
4922664,656.1463
4924042,2810.1146
4924047,2889.0980
4924052,3990.6879
4924055,2970.3013
4924063,1595.7493
4924068,3000.0000
4924069,111.2250
4924075,2959.8115
4924081,3000.0000
4924087,3000.0000
4924094,788.3960
4924211,0.0000
4924342,3032.1509
4924349,1926.3522
4934837,0.0000
4936531,99.4778
4936814,38.9455
4952454,735.1136
4954397,2395.2244
4954408,1823.4177
4958452,0.0000
4962065,2550.5776
4962074,2582.4610
4962079,7946.8321
4962081,2623.2171
4962091,2680.3431
4962101,2736.8484
4962102,8507.7849
4962116,5735.4791
4993925,5.6640
4994022,2794.5450
4994142,1913.5052
4995844,0.0000
5001368,908.7172
5001379,2019.3715
5001403,2300.6911
5004783,6.3147
5006695,0.5000
5009541,0.2910
5015367,794.8154
5015670,13478.0127
5015688,2848.3279
5015789,2866.4168
5015792,2898.0213
5015798,14645.6202
5015798,3997.3928
5015805,2929.9741
5015808,2964.5333
5015811,2999.5001
5015814,3000.0000
5015817,3000.0000
5015820,3000.0000
5015835,3000.0000
5015837,3000.0000
5015840,3020.8178
5015842,3000.0000
5015845,3000.0000
5015848,3000.0000
5015848,433.7426
5015851,3007.3551
5015851,50.7952
5015854,3004.3461
5015858,3000.0000
5015860,3000.0000
5015863,3000.0000
5015865,3000.0000
5015869,3000.0000
5015872,144.7396
5015876,3000.0000
5015879,3000.0000
5015882,3000.0000
5015885,3000.0000
5015889,3000.0000
5015892,3000.0000
5015894,1246.8498
5016465,1865.5286
5017085,730.6101
5017189,199.5923
5017203,5076.0728
5017206,784.5713
5017234,4722.3714
5017322,5199.3235
5017334,5270.5703
5017337,5331.0120
5017344,5392.1468
5017347,5766.4356
5017348,300.5665
5017350,1466.1780
5017351,6166.7052
5017353,4482.4876
5032272,0.0000
5032332,6426.1596
5032403,2.3639
5032422,336.0874
5035780,948.1265
5035814,4879.3029
5035817,6712.7171
5035824,6783.1485
5035836,6847.9755
5035839,1117.6173
5036595,3069.0800
5036629,1321.1400
5036634,3963.4200
5036636,1313.2326
5036642,7144.4930
5036650,7243.8574
5036653,7306.0670
5036657,7368.8109
5036662,7432.0936
5036666,7063.4150
5036674,7611.4629
5036680,7672.2570
5036680,8556.9092
5036681,11189.8044
5036682,7969.0221
5036688,7464.9646
5036691,1227.0323
5036839,4970.6436
5036858,16.4415
5036891,1252.1536
5036895,2503.9588
5036903,12.5198
5036906,149.6741
5036917,475.3582
5037018,9.7624
5038802,303.5813
5038827,24.2846
5038902,8829.3777
5038905,4826.8406
5039183,0.0000
5039196,1520.1850
5039265,9165.4302
5039270,9432.6339
5039275,4906.7280
5039277,2764.0553
5039281,1468.8846
5042986,0.0000
5056211,175.3760
5099185,682.4735
5119742,13.8646
5126740,9271.9443
5126744,9449.6472
5126747,772.4238
5126787,127.6976
5127014,767.2700
5127017,164.4150
5128220,23.2077
5130813,66.4879
5130832,124.8634
5130847,58.2696
5130854,299.1964
5131265,201.7968
5131299,24.1124
5131301,241.1242
5131311,195.7038
5136697,581.5939
5146801,189.9541
5149887,42.0497
5155487,9.4875
5180621,44.6169
5204028,3759.6230
5204034,0.0000
5206420,2.3610
5208313,6520.2801
5212431,22.9636
5212459,113.8702
5212490,464.9331
5213653,3019.1913
5213665,3069.3958
5213669,3146.6048
5213671,3225.7559
5213676,3285.1302
5213678,3411.8490
5213681,3520.8484
5213685,3633.3300
5213689,3749.4051
5213692,3869.1884
5213695,3992.7985
5213700,4089.8808
5213704,2976.1089
5213714,4284.4023
5213716,4389.6802
5213718,4497.5450
5213723,1857.2008
5213736,3331.4693
5213739,3586.3719
5213739,712.9707
5213744,4679.1566
5214501,0.0000
5219698,151.8647
5219734,171.9831
5219736,487.3367
5219746,4976.9813
5219752,1795.6020
5219754,5104.5788
5219755,25.2929
5219757,5221.2157
5219765,5340.5177
5219766,343.6675
5219769,5502.8135
5219775,191.3614
5219784,69.0646
5220842,5710.1388
5220844,4430.0667
5222816,5878.2999
5222820,6057.3590
5222823,6241.8724
5222828,6432.0063
5222830,6627.9319
5222832,6829.8255
5222836,7025.9809
5222839,7227.7700
