cdpid,blockcreated
1,4754490
3,4754500
4,4754727
5,4755173
6,4755656
7,4755714
9,4755812
11,4755886
12,4755888
14,4755907
16,4755977
17,4755997
19,4756058
21,4756100
25,4756335
26,4756370
27,4756400
28,4756490
31,4756614
35,4757081
36,4757086
37,4757160
38,4757203
40,4757310
41,4757310
42,4757326
43,4757339
47,4757559
48,4757688
49,4757773
51,4757793
52,4758226
55,4758564
56,4758607
57,4758696
59,4758763
61,4758961
68,4759767
69,4760025
70,4760112
72,4760278
77,4761336
78,4761511
79,4761516
82,4762413
85,4762891
86,4762941
88,4763058
89,4763131
91,4764742
93,4766003
95,4767322
98,4767468
100,4767597
101,4767999
102,4768238
103,4768572
104,4769144
105,4769666
107,4769894
114,4770765
116,4771660
118,4772735
119,4772850
120,4773241
121,4774345
122,4774352
124,4775211
125,4775235
127,4777200
128,4777257
130,4777346
131,4777541
132,4777822
135,4778073
138,4779137
143,4780573
146,4780625
150,4783185
151,4783228
152,4783718
154,4784511
155,4784523
156,4784694
158,4785205
159,4785771
160,4785862
161,4786095
162,4786259
163,4786999
164,4787209
165,4787413
166,4787584
167,4789043
172,4790193
174,4790550
175,4791303
176,4791409
178,4792693
179,4793135
180,4794774
181,4795746
182,4795758
184,4796753
185,4796963
189,4802018
190,4802275
192,4803194
195,4806572
196,4807453
199,4807983
200,4808066
201,4809611
204,4810653
206,4814726
207,4815288
210,4819813
215,4824265
218,4826134
222,4829683
223,4829771
224,4829883
226,4831182
227,4831489
229,4832864
234,4837645
235,4838354
237,4838829
238,4839436
239,4840994
242,4841232
244,4842109
245,4843142
246,4844360
247,4844994
248,4845474
249,4845888
250,4846051
251,4846548
253,4846730
254,4847949
256,4849052
257,4849987
260,4851981
261,4852302
263,4853783
267,4855635
271,4861705
272,4862138
273,4862247
274,4862492
277,4864887
278,4865355
280,4866203
281,4866334
283,4866467
285,4867971
286,4868691
287,4869360
290,4873047
291,4873449
293,4880666
294,4884601
296,4888235
297,4889140
298,4889798
300,4892810
302,4893611
305,4893759
307,4895202
310,4899112
311,4903346
313,4908436
314,4909020
319,4913433
320,4915722
322,4918432
323,4919037
324,4919884
325,4920002
326,4920281
327,4920526
328,4921871
329,4922085
331,4922664
335,4923675
337,4923790
340,4924185
341,4924253
342,4924553
343,4924596
344,4924608
345,4924694
346,4924831
347,4924920
348,4925191
352,4927783
353,4928694
356,4931601
357,4931682
360,4932036
361,4934514
362,4934675
363,4934839
364,4935535
365,4935606
367,4935843
368,4935952
369,4936922
370,4939978
372,4942121
375,4942332
376,4943044
377,4943614
378,4945557
380,4947422
381,4947460
383,4948883
384,4949371
385,4949530
387,4951582
388,4952361
389,4953794
390,4954535
391,4954548
392,4955016
393,4955273
394,4955486
397,4958374
398,4958979
399,4959380
400,4959793
402,4962247
403,4963507
405,4964938
407,4966448
409,4966883
410,4967161
412,4967780
415,4968263
416,4968987
417,4972231
420,4973058
424,4976888
425,4977035
426,4977402
427,4980476
428,4982680
435,4984184
436,4984474
438,4985983
439,4988720
440,4989628
441,4990312
442,4990382
443,4990449
444,4990954
445,4992030
448,4993021
450,4993349
451,4993632
452,4994231
453,4995569
454,4995919
455,4996209
456,4996258
458,4996451
459,4996665
460,4997270
462,4997607
463,4998200
464,4998628
465,4999445
466,5001196
468,5001343
470,5002352
471,5002558
472,5002823
473,5003453
474,5003850
476,5005737
478,5007043
479,5007159
480,5007292
481,5007613
483,5008175
484,5009159
485,5009459
486,5009626
487,5009628
488,5011182
489,5011379
490,5013017
494,5014517
495,5014544
496,5015068
497,5015120
498,5015485
499,5015744
501,5016604
502,5016824
505,5016999
506,5017173
509,5023059
511,5025072
512,5025454
513,5027754
516,5030381
517,5030415
519,5031088
520,5031122
521,5031212
524,5031474
525,5031488
527,5032110
528,5033205
529,5033349
530,5033705
531,5033742
532,5034731
533,5035832
534,5036726
537,5036903
538,5036917
539,5036953
540,5037044
541,5037169
542,5037186
544,5037347
545,5037575
546,5037613
547,5038161
548,5038256
549,5038769
551,5039071
552,5039756
553,5040249
554,5040278
555,5040514
556,5040736
557,5041277
558,5041290
560,5041810
561,5042182
562,5042227
563,5042807
564,5042816
565,5042932
566,5043033
568,5043251
570,5043496
571,5044061
572,5044479
573,5044636
575,5046524
577,5047220
579,5048476
580,5048666
581,5048712
584,5049139
585,5049225
586,5049291
587,5049312
588,5049438
589,5049612
591,5050587
594,5050664
595,5051014
596,5051067
597,5051198
598,5051581
601,5051624
603,5051895
604,5052298
605,5053620
607,5053858
608,5054021
609,5055017
611,5055046
612,5055163
613,5055325
614,5056042
615,5056080
616,5056124
618,5058465
620,5059259
621,5059271
623,5060270
625,5060832
626,5061655
627,5061793
628,5062036
630,5062270
631,5062496
632,5062886
634,5063902
636,5064305
637,5064743
638,5064754
640,5066088
642,5066725
645,5067604
646,5067604
647,5067845
648,5067964
649,5068282
650,5068350
652,5068834
653,5068872
654,5068957
655,5068978
657,5069767
658,5069846
659,5071022
661,5072171
662,5072445
663,5072468
666,5072762
667,5073078
668,5075075
669,5075447
670,5075824
671,5075963
672,5075987
673,5076878
674,5077436
675,5077541
676,5077563
677,5078562
681,5078977
682,5079020
683,5079249
684,5079286
685,5079344
686,5079870
687,5080022
688,5080344
689,5080993
690,5081083
691,5081426
692,5081811
693,5082330
694,5082361
695,5083653
697,5083908
698,5084109
699,5084306
703,5085753
704,5085761
705,5085935
706,5086087
708,5086246
709,5086474
710,5086612
711,5087288
714,5088789
715,5089231
717,5090914
718,5090919
719,5091219
721,5091354
722,5091735
723,5092315
724,5092395
725,5092653
726,5093079
727,5093528
728,5093635
729,5094696
731,5096292
733,5096435
735,5097491
736,5098333
738,5103397
739,5103401
740,5104582
741,5104649
742,5106768
743,5107903
744,5108357
745,5108539
748,5109055
750,5109193
751,5109513
753,5113280
754,5113504
755,5113559
756,5113650
757,5114293
759,5114657
760,5114692
762,5115402
763,5115632
764,5115833
