block,price
4752000,702.519
4753000,711.1815
4754000,724.324
4755000,722.2345
4756000,765.568
4757000,790.146
4758000,812.0065
4759000,836.695
4760000,819.044
4761000,831.698
4762000,806.505
4763000,752.2065
4764000,783.053
4765000,797.073
4766000,807.426
4767000,803.983
4768000,785.838
4769000,797.464
4770000,835.2
4771000,834.381
4772000,772.899
4773000,773.4135
4774000,781.07
4775000,718.685
4776000,654.053
4777000,602.677
4778000,630.171
4779000,680.922
4780000,687.597
4781000,658.942
4782000,702.4015
4783000,728.81
4784000,727.6115
4785000,739.4965
4786000,669.432
4787000,678.2855
4788000,644.408
4789000,645.0915
4790000,635.6745
4791000,644.6325
4792000,706.32
4793000,715.7425
4794000,726.171
4795000,715.491
4796000,727.3965
4797000,726.553
4798000,740.86
4799000,745.3045
4800000,755.43
4801000,742.002
4802000,745.577
4803000,745.56
4804000,759.02
4805000,762.9725
4806000,744.723
4807000,752.484
4808000,731.6275
4809000,732.8405
4810000,735.207
4811000,693.553
4812000,699.189
4813000,703.781
4814000,689.934
4815000,714.31
4816000,730.63
4817000,734.009
4818000,715.535
4819000,739.2565
4820000,746.4835
4821000,738.817
4822000,703.6
4823000,709.043
4824000,714.66
4825000,689.985
4826000,704.25
4827000,708.8
4828000,707.245
4829000,706.08
4830000,715.875
4831000,738.9
4832000,738.93
4833000,739.61
4834000,742
4835000,740.89
4836000,742.584
4837000,740.475
4838000,760.105
4839000,798.663
4840000,849.82
4841000,836.0245
4842000,865.14
4843000,866.191
4844000,856.61
4845000,875
4846000,876.45
4847000,859.55
4848000,874.777
4849000,922.02
4850000,933.67
4851000,929.77
4852000,907.56
4853000,944.45
4854000,989.76
4855000,949.54
4856000,969.94
4857000,1012.59
4858000,991.75
4859000,975.61
4860000,975.88
4861000,966.25
4862000,984.005
4863000,993.11
4864000,996.755
4865000,994.405
4866000,1002.52
4867000,1031.9625
4868000,1071.635
4869000,1081.13
4870000,1086.99
4871000,1091.64
4872000,1163.7725
4873000,1193.29
4874000,1134.99
4875000,1032.7075
4876000,1128
4877000,1126.89
4878000,1191.31
4879000,1223.12
4880000,1198.33
4881000,1196.425
4882000,1230.5
4883000,1279.65
4884000,1373.31
4885000,1285.41
4886000,1335.5475
4887000,1299.99
4888000,1308.65
4889000,1189.675
4890000,1233.495
4891000,1184.615
4892000,1225.2525
4893000,1147.465
4894000,1180.48
4895000,1206.8
4896000,1221.0975
4897000,1233.2475
4898000,1256.835
4899000,1273.295
4900000,1278.745
4901000,1326.5675
4902000,1353.135
4903000,1411.66
4904000,1382.25
4905000,1373.6
4906000,1351.74
4907000,1325.095
4908000,1293.965
4909000,1322.245
4910000,1364.9
4911000,1325.79
4912000,1320.02
4913000,1318.9375
4914000,1305.815
4915000,1298
4916000,1235.05
4917000,1207.03
4918000,1171.075
4919000,1142.565
4920000,1013.025
4921000,1038.44
4922000,988.54
4923000,935.59
4924000,847.195
4925000,859.95
4926000,1001.01
4927000,1063.9
4928000,971.85
4929000,1030.74
4930000,1090.97
4931000,1078.58
4932000,1045.055
4933000,1014.8
4934000,1055.02
4935000,1078
4936000,1034
4937000,1029
4938000,1046.42
4939000,1111.98
4940000,1111.99
4941000,1120
4942000,1151.525
4943000,1155.965
4944000,1129.01
4945000,1081.505
4946000,1072.05
4947000,1085.15
4948000,1055
4949000,1030
4950000,1040.4
4951000,1051.3
4952000,1074
4953000,979
4954000,970.18
4955000,999.85
4956000,1001.04
4957000,945
4958000,923.2
4959000,983.46
4960000,989.01
4961000,986.49
4962000,985.02
4963000,997.8
4964000,1005
4965000,1024.2
4966000,1030.83
4967000,1059.99
4968000,1082
4969000,1059
4970000,1055
4971000,1033.44
4972000,1072.37
4973000,1050.33
4974000,1070.58
4975000,1015.5
4976000,1015.23
4977000,1056
4978000,1039.6
4979000,1049.09
4980000,1053.34
4981000,1065
4982000,1053.4
4983000,1089.6
4984000,1113.9
4985000,1113.24
4986000,1129.71
4987000,1159.635
4988000,1191.98
4989000,1192.31
4990000,1202.005
4991000,1226.77
4992000,1178
4993000,1166.4675
4994000,1166.915
4995000,1177.8525
4996000,1161.55
4997000,1161.765
4998000,1136.5025
4999000,1158.925
5000000,1149.7575
5001000,1117.3775
5002000,1061.085
5003000,1028.2075
5004000,1054.02
5005000,1075.0675
5006000,1102.425
5007000,1105.21
5008000,1088.2525
5009000,1115.395
5010000,1137.6025
5011000,1082.5125
5012000,1104.875
5013000,1035.02
5014000,1007.185
5015000,965.785
5016000,926.0825
5017000,846.425
5018000,930.1675
5019000,888.17
5020000,919.135
5021000,856.23
5022000,914.31
5023000,951.22
5024000,972.08
5025000,973.605
5026000,962.25
5027000,952.155
5028000,954.545
5029000,899.925
5030000,850.7625
5031000,846.3075
5032000,827
5033000,830.945
5034000,820.9375
5035000,777.31
5036000,739.11
5037000,644.145
5038000,697.555
5039000,622.21
5040000,581.25
5041000,605.77
5042000,740.315
5043000,755.445
5044000,786.4975
5045000,725.61
5046000,780.4925
5047000,823.0775
5048000,816.89
5049000,822.7525
5050000,773.99
5051000,820.1425
5052000,828.72
5053000,828.085
5054000,798.87
5055000,813.5275
5056000,808.3
5057000,798.435
5058000,802.095
5059000,826.18
5060000,844.92
5061000,867.2
5062000,878.595
5063000,893.49
5064000,881.56
5065000,866.53
5066000,828.415
5067000,839.58
5068000,840.82
